"team","year","medal","n","gdp","pop"
"Afghanistan",2000,"Bronze",0,6.20654759033959,19.542982
"Afghanistan",2000,"Gold",0,6.20654759033959,19.542982
"Afghanistan",2000,"Silver",0,6.20654759033959,19.542982
"Afghanistan",2004,"Bronze",0,7.97851564158304,23.553551
"Afghanistan",2004,"Gold",0,7.97851564158304,23.553551
"Afghanistan",2004,"Silver",0,7.97851564158304,23.553551
"Afghanistan",2008,"Bronze",1,11.0603951156809,26.427199
"Afghanistan",2008,"Gold",0,11.0603951156809,26.427199
"Afghanistan",2008,"Silver",0,11.0603951156809,26.427199
"Afghanistan",2012,"Bronze",1,17.3864902393536,30.466479
"Afghanistan",2012,"Gold",0,17.3864902393536,30.466479
"Afghanistan",2012,"Silver",0,17.3864902393536,30.466479
"Afghanistan",2016,"Bronze",0,19.5667151741633,34.636207
"Afghanistan",2016,"Gold",0,19.5667151741633,34.636207
"Afghanistan",2016,"Silver",0,19.5667151741633,34.636207
"Algeria",2000,"Bronze",3,109.811551032014,30.774621
"Algeria",2000,"Gold",1,109.811551032014,30.774621
"Algeria",2000,"Silver",1,109.811551032014,30.774621
"Algeria",2004,"Bronze",0,132.675813621228,32.510186
"Algeria",2004,"Gold",0,132.675813621228,32.510186
"Algeria",2004,"Silver",0,132.675813621228,32.510186
"Algeria",2008,"Bronze",1,152.065353507158,34.569592
"Algeria",2008,"Gold",0,152.065353507158,34.569592
"Algeria",2008,"Silver",1,152.065353507158,34.569592
"Algeria",2012,"Bronze",0,170.101934378987,37.260563
"Algeria",2012,"Gold",1,170.101934378987,37.260563
"Algeria",2012,"Silver",0,170.101934378987,37.260563
"Algeria",2016,"Bronze",0,194.806115977968,40.339329
"Algeria",2016,"Gold",0,194.806115977968,40.339329
"Algeria",2016,"Silver",2,194.806115977968,40.339329
"Argentina",2000,"Bronze",3,395.646066535875,37.070774
"Argentina",2000,"Gold",0,395.646066535875,37.070774
"Argentina",2000,"Silver",17,395.646066535875,37.070774
"Argentina",2004,"Bronze",21,399.898899166738,38.668796
"Argentina",2004,"Gold",28,399.898899166738,38.668796
"Argentina",2004,"Silver",0,399.898899166738,38.668796
"Argentina",2008,"Bronze",31,533.491913656279,40.273769
"Argentina",2008,"Gold",20,533.491913656279,40.273769
"Argentina",2008,"Silver",0,533.491913656279,40.273769
"Argentina",2012,"Bronze",3,579.910247223428,41.733271
"Argentina",2012,"Gold",1,579.910247223428,41.733271
"Argentina",2012,"Silver",15,579.910247223428,41.733271
"Argentina",2016,"Bronze",0,582.37655042809,43.590368
"Argentina",2016,"Gold",21,582.37655042809,43.590368
"Argentina",2016,"Silver",1,582.37655042809,43.590368
"Armenia",2000,"Bronze",1,3.95942477265728,3.168523
"Armenia",2000,"Gold",0,3.95942477265728,3.168523
"Armenia",2000,"Silver",0,3.95942477265728,3.168523
"Armenia",2004,"Bronze",0,6.18808408457212,3.065745
"Armenia",2004,"Gold",0,6.18808408457212,3.065745
"Armenia",2004,"Silver",0,6.18808408457212,3.065745
"Armenia",2008,"Bronze",6,9.6976058165624,2.983421
"Armenia",2008,"Gold",0,9.6976058165624,2.983421
"Armenia",2008,"Silver",0,9.6976058165624,2.983421
"Armenia",2012,"Bronze",2,9.55542600605632,2.914421
"Armenia",2012,"Gold",0,9.55542600605632,2.914421
"Armenia",2012,"Silver",1,9.55542600605632,2.914421
"Armenia",2016,"Bronze",0,10.5744441934325,2.865835
"Armenia",2016,"Gold",1,10.5744441934325,2.865835
